7949, 303683, 618393, 550211, 25962, 150925, 289507, 39067, 663463, 21702, 193267, 1430069, 539890, 2663712, 7161, 234436, 12201, 1506957, 1270047, 2178270, 197420, 307771, 107303, 21910, 448705, 28085
332643, 19706, 11463, 3550, 755121, 447, 170, 1515, 175407, 9057, 383, 301691, 3850, 1441, 320835, 1900, 72, 181953, 51163, 13288, 296599, 4502, 1082, 3, 186249, 72
853327, 3810, 116799, 3255, 813188, 753, 1517, 674032, 358606, 288, 266638, 280332, 1839, 32011, 1041726, 1923, 2989, 268358, 38713, 465133, 212529, 252, 200, 23, 67338, 825
347377, 4012, 9177, 73147, 1153005, 5209, 41062, 5664, 630764, 3061, 415, 53807, 41779, 47073, 350105, 2470, 1666, 121244, 155121, 4970, 142028, 30734, 10876, 27, 65656, 1077
1015398, 78478, 628654, 1656455, 560190, 213715, 175228, 38449, 272828, 6636, 53927, 698883, 498373, 1931907, 155007, 304108, 36866, 2823886, 1821597, 528511, 39027, 341946, 232392, 241101, 258057, 14207
221840, 8392, 969, 1280, 306160, 233092, 4957, 224, 392739, 190, 367, 83873, 1061, 773, 704226, 1022, 39, 291486, 9720, 133689, 118302, 51, 509, 188, 12864, 62
256126, 2746, 951, 3411, 545229, 1349, 47700, 303643, 177170, 151, 479, 65581, 6706, 116325, 246028, 849, 206, 260515, 72971, 29352, 121084, 97, 1360, 42, 27197, 214
1539020, 9877, 3585, 5972, 3863845, 1724, 263, 1332, 1023575, 84, 819, 20890, 15458, 34369, 754715, 1031, 1184, 107099, 30388, 183330, 100726, 686, 6583, 23, 45612, 27
438618, 98717, 1002939, 710245, 486019, 225723, 418982, 5674, 6060, 5627, 114452, 709445, 459146, 3491430, 917633, 100155, 7290, 419901, 1478190, 1545902, 13364, 361570, 1625, 20028, 1597, 89153
49394, 73, 412, 175, 55764, 292, 254, 148, 12738, 358, 156, 127, 175, 245, 105756, 439, 0, 2821, 505, 225, 128984, 29, 274, 227, 51, 34
46189, 1729, 572, 3169, 446870, 2900, 3571, 8238, 196201, 152, 2074, 24616, 2103, 68442, 26801, 2978, 50, 9225, 97815, 2275, 10132, 262, 2361, 59, 12813, 23
725232, 10096, 11087, 407977, 1156667, 46123, 7454, 1683, 1071464, 274, 38772, 930042, 35531, 6551, 473182, 35815, 89, 15574, 233784, 137719, 138542, 36786, 14178, 20, 571655, 977
764688, 126409, 16715, 1159, 1145744, 4892, 521, 535, 530503, 140, 1626, 4438, 147058, 14658, 488165, 459630, 33, 95711, 126456, 1566, 128710, 607, 1100, 62, 74145, 588
527469, 16127, 482836, 1616644, 984771, 94463, 1554765, 12132, 487539, 14456, 94546, 69099, 50869, 175451, 604150, 10339, 3522, 9867, 724502, 1562417, 100141, 88048, 11428, 2710, 156114, 4661
72761, 157274, 210271, 177061, 55532, 1129379, 99079, 33747, 139023, 10800, 125201, 529902, 781789, 2375159, 303730, 346310, 534, 1817674, 405627, 619831, 1298549, 277413, 462207, 20918, 43493, 7962
459639, 2109, 3581, 9416, 639485, 1932, 1400, 85065, 167265, 203, 1129, 361055, 9899, 2405, 584124, 209727, 52, 595154, 110555, 95316, 185726, 302, 764, 40, 11284, 51
4370, 145, 25, 55, 128, 34, 4, 56, 3195, 1, 10, 30, 20, 24, 48, 15, 652, 35, 594, 41, 125601, 82, 20, 2, 2, 35
884125, 30881, 159926, 251766, 2526819, 28898, 146488, 21932, 1006927, 1147, 160970, 127296, 188063, 246267, 948076, 39825, 1081, 177653, 691517, 567971, 392285, 95872, 18942, 423, 359571, 1953
549160, 13728, 184974, 42194, 1154565, 12962, 6928, 465760, 761507, 511, 69805, 101036, 83404, 47834, 512020, 269181, 9558, 16966, 515985, 1570470, 356322, 1581, 34750, 1874, 62869, 673
737825, 32973, 43478, 2773, 1784175, 11359, 2594, 4488191, 1622872, 363, 771, 124634, 45218, 19810, 1672765, 10017, 282, 694508, 611615, 295203, 268573, 7134, 127183, 566, 267754, 8571
135035, 150000, 171183, 139490, 195932, 19485, 181926, 2819, 106490, 1184, 10767, 427470, 318378, 604461, 9094, 211641, 363, 653083, 663339, 641123, 732, 5706, 568, 3604, 13980, 18064
136107, 61, 360, 290, 1181985, 225, 84, 86, 380855, 17, 117, 2313, 126, 205, 121346, 890, 1, 1522, 2331, 343, 3779, 583, 53, 107, 6233, 42
578412, 1938, 1283, 10098, 520429, 2767, 173, 567907, 543020, 188, 5804, 15468, 4872, 104402, 353791, 773, 7, 50322, 93844, 6028, 729, 113, 637, 48, 8159, 84
32137, 234, 18460, 31, 29122, 464, 13, 2662, 37297, 16, 12, 373, 2042, 307, 3828, 79948, 112, 50, 1184, 44377, 9859, 161, 128, 1011, 1716, 7
36685, 14920, 11440, 6133, 162846, 1752, 1914, 769, 65672, 92, 938, 20445, 23905, 20686, 231177, 17589, 47, 33497, 165724, 21797, 2102, 3410, 8803, 90, 1004, 1609
31458, 1009, 116, 632, 72785, 910, 311, 1644, 29458, 33, 268, 1622, 1130, 906, 12581, 192, 96, 452, 2467, 148, 5087, 232, 277, 7, 3472, 5925
